Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation,Island,Country
2009,5,403496.5576,70.2,56.7,63.45,0,HawaiiIsland,US_West
2009,6,477229.0501,73.9,51.8,62.85,1,HawaiiIsland,US_West
2009,7,508417.2544,74.5,58.8,66.65,0,HawaiiIsland,US_West
2009,8,462696.4848,76.2,58.9,67.55,0,HawaiiIsland,US_West
2009,9,327024.3089,75.6,58,66.8,1,HawaiiIsland,US_West
2009,10,371483.1826,75.1,59.8,67.45,1,HawaiiIsland,US_West
2009,11,401658.954,72.5,56.1,64.3,2,HawaiiIsland,US_West
2009,12,458887.3269,70.1,53.7,61.9,2,HawaiiIsland,US_West
2010,1,397591.4806,69.2,54,61.6,2,HawaiiIsland,US_West
2010,2,385982.2816,68,51.7,59.85,1,HawaiiIsland,US_West
2010,3,431766.6775,69.1,52.6,60.85,0,HawaiiIsland,US_West
2010,4,465164.1312,69.7,53.4,61.55,1,HawaiiIsland,US_West
2010,5,409050.7389,71.6,55.4,63.5,0,HawaiiIsland,US_West
2010,6,473334.058,73.3,56,64.65,1,HawaiiIsland,US_West
2010,7,502972.4053,74.2,56.5,65.35,0,HawaiiIsland,US_West
2010,8,489430.8929,74.3,56.7,65.5,0,HawaiiIsland,US_West
2010,9,352099.9289,74.3,56.7,65.5,1,HawaiiIsland,US_West
2010,10,438272.3572,74,57,65.5,1,HawaiiIsland,US_West
2010,11,462120,72.1,55.9,64,2,HawaiiIsland,US_West
2010,12,469107.562,70,55.4,62.7,2,HawaiiIsland,US_West
2011,1,447072.977,67.8,53.1,60.45,2,HawaiiIsland,US_West
2011,2,443837.421,68.2,54.7,61.45,1,HawaiiIsland,US_West
2011,3,481954.2404,69.8,54.5,62.15,0,HawaiiIsland,US_West
2011,4,507456.8231,69.7,55.3,62.5,1,HawaiiIsland,US_West
2011,5,414314.0716,71.5,56.6,64.05,0,HawaiiIsland,US_West
2011,6,471504.2325,72.1,56.4,64.25,1,HawaiiIsland,US_West
2011,7,496869.8428,73.6,56.5,65.05,0,HawaiiIsland,US_West
2011,8,481844.5011,74.6,57.1,65.85,0,HawaiiIsland,US_West
